Instructor,Course,Semester,Course_Grade,Pre,Pre %,Post,Post %,% Change,%_Possible_Change,Normalized_Gain
B,Bio 1530,2013_Fall,55.00,14,28,17,34,6,72,0.08
B,Bio 1530,2013_Fall,55.00,14,28,17,34,6,72,0.08
B,Bio 1530,2014_Fall,94.00,15,30,25,50,20,70,0.29
B,Bio 1530,2014_Fall,93.00,14,28,23,46,18,72,0.25
B,Bio 1530,2014_Fall,93.00,15,30,23,46,16,70,0.23
B,Bio 1530,2014_Fall,90.00,17,34,28,56,22,66,0.33
B,Bio 1530,2014_Fall,89.00,13,26,20,40,14,74,0.19
B,Bio 1530,2014_Fall,85.00,20,40,29,58,18,60,0.30
B,Bio 1530,2014_Fall,82.00,11,22,18,36,14,78,0.18
B,Bio 1530,2014_Fall,82.00,13,26,19,38,12,74,0.16
B,Bio 1530,2014_Fall,81.00,14,28,24,48,20,72,0.28
B,Bio 1530,2014_Fall,81.00,12,24,12,24,0,76,0.00
B,Bio 1530,2014_Fall,79.00,17,34,23,46,12,66,0.18
B,Bio 1530,2014_Fall,78.00,16,32,20,40,8,68,0.12
B,Bio 1530,2014_Fall,77.00,10,20,14,28,8,80,0.10
B,Bio 1530,2014_Fall,76.00,10,20,19,38,18,80,0.23
B,Bio 1530,2014_Fall,75.00,11,22,19,38,16,78,0.21
B,Bio 1530,2014_Fall,75.00,11,22,12,24,2,78,0.03
B,Bio 1530,2014_Fall,74.00,11,22,20,40,18,78,0.23
B,Bio 1530,2014_Fall,69.00,11,22,7,14,-8,78,0.00
B,Bio 1530,2014_Fall,67.00,11,22,21,42,20,78,0.26
B,Bio 1530,2014_Fall,66.00,17,34,19,38,4,66,0.06
B,Bio 1530,2014_Fall,65.00,14,28,14,28,0,72,0.00
B,Bio 1530,2014_Fall,60.00,14,28,20,40,12,72,0.17
B,Bio 1530,2014_Spring,92.00,18,36,20,40,4,64,0.06
B,Bio 1530,2014_Spring,91.00,17,34,18,36,2,66,0.03
B,Bio 1530,2014_Spring,91.00,17,34,15,30,-4,66,0.00
B,Bio 1530,2014_Spring,88.00,16,32,23,46,14,68,0.21
B,Bio 1530,2014_Spring,86.00,14,28,17,34,6,72,0.08
B,Bio 1530,2014_Spring,86.00,14,28,14,28,0,72,0.00
B,Bio 1530,2014_Spring,84.00,14,28,13,26,-2,72,0.00
B,Bio 1530,2014_Spring,83.00,14,28,20,40,12,72,0.17
B,Bio 1530,2014_Spring,83.00,14,28,12,24,-4,72,0.00
B,Bio 1530,2014_Spring,82.00,13,26,16,32,6,74,0.08
B,Bio 1530,2014_Spring,80.00,12,24,17,34,10,76,0.13
B,Bio 1530,2014_Spring,80.00,12,24,10,20,-4,76,0.00
B,Bio 1530,2014_Spring,79.00,12,24,20,40,16,76,0.21
B,Bio 1530,2014_Spring,79.00,12,24,20,40,16,76,0.21
B,Bio 1530,2014_Spring,76.00,11,22,14,28,6,78,0.08
B,Bio 1530,2014_Spring,75.00,11,22,16,32,10,78,0.13
B,Bio 1530,2014_Spring,75.00,11,22,11,22,0,78,0.00
B,Bio 1530,2014_Spring,74.00,10,20,17,34,14,80,0.18
B,Bio 1530,2014_Spring,73.00,10,20,19,38,18,80,0.23
B,Bio 1530,2014_Spring,73.00,9,18,6,12,-6,82,0.00
B,Bio 1530,2014_Spring,68.00,9,18,17,34,16,82,0.20
B,Bio 1530,2014_Spring,64.00,8,16,19,38,22,84,0.26
B,Bio 1530,2014_Spring,56.00,7,14,12,24,10,86,0.12
B,Bio 1530,2014_Spring,51.00,7,14,12,24,10,86,0.12
B,Bio 1530,2014_Spring,49.00,6,12,14,28,16,88,0.18
B,Bio 1530,2016_Fall,95.00,8,16,16,32,16,84,0.19
B,Bio 1530,2016_Fall,95.00,11,22,15,30,8,78,0.10
B,Bio 1530,2016_Fall,95.00,13,26,15,30,4,74,0.05
B,Bio 1530,2016_Fall,95.00,13,26,15,30,4,74,0.05
B,Bio 1530,2016_Fall,95.00,13,26,14,28,2,74,0.03
B,Bio 1530,2016_Fall,95.00,11,22,12,24,2,78,0.03
B,Bio 1530,2016_Fall,92.00,7,14,19,38,24,86,0.28
B,Bio 1530,2016_Fall,92.00,10,20,11,22,2,80,0.03
B,Bio 1530,2016_Fall,88.00,11,22,12,24,2,78,0.03
B,Bio 1530,2016_Fall,85.00,13,26,20,40,14,74,0.19
B,Bio 1530,2016_Fall,85.00,7,14,13,26,12,86,0.14
B,Bio 1530,2016_Fall,85.00,12,24,15,30,6,76,0.08
B,Bio 1530,2016_Fall,85.00,10,20,12,24,4,80,0.05
B,Bio 1530,2016_Fall,85.00,11,22,12,24,2,78,0.03
B,Bio 1530,2016_Fall,85.00,9,18,10,20,2,82,0.02
B,Bio 1530,2016_Fall,85.00,12,24,11,22,-2,76,0.00
B,Bio 1530,2016_Fall,82.00,11,22,17,34,12,78,0.15
B,Bio 1530,2016_Fall,82.00,7,14,13,26,12,86,0.14
B,Bio 1530,2016_Fall,82.00,9,18,13,26,8,82,0.10
B,Bio 1530,2016_Fall,82.00,10,20,13,26,6,80,0.08
B,Bio 1530,2016_Fall,82.00,8,16,10,20,4,84,0.05
B,Bio 1530,2016_Fall,82.00,11,22,7,14,-8,78,0.00
B,Bio 1530,2016_Fall,75.00,6,12,16,32,20,88,0.23
B,Bio 1530,2016_Fall,75.00,12,24,14,28,4,76,0.05
B,Bio 1530,2016_Fall,75.00,10,20,12,24,4,80,0.05
B,Bio 1530,2016_Fall,75.00,9,18,11,22,4,82,0.05
B,Bio 1530,2016_Fall,75.00,6,12,8,16,4,88,0.05
B,Bio 1530,2016_Fall,75.00,13,26,9,18,-8,74,0.00
B,Bio 1530,2016_Fall,75.00,14,28,9,18,-10,72,0.00
B,Bio 1530,2016_Fall,75.00,14,28,10,20,-8,72,0.00
B,Bio 1530,2016_Fall,75.00,12,24,11,22,-2,76,0.00
B,Bio 1530,2016_Fall,72.00,7,14,16,32,18,86,0.21
B,Bio 1530,2016_Fall,72.00,12,24,18,36,12,76,0.16
B,Bio 1530,2016_Fall,72.00,13,26,14,28,2,74,0.03
B,Bio 1530,2016_Fall,72.00,14,28,5,10,-18,72,0.00
B,Bio 1530,2016_Fall,68.00,6,12,13,26,14,88,0.16
B,Bio 1530,2016_Fall,68.00,9,18,10,20,2,82,0.02
B,Bio 1530,2016_Fall,65.00,9,18,17,34,16,82,0.20
B,Bio 1530,2016_Fall,65.00,9,18,15,30,12,82,0.15
B,Bio 1530,2016_Fall,65.00,9,18,13,26,8,82,0.10
B,Bio 1530,2016_Fall,65.00,8,16,8,16,0,84,0.00
B,Bio 1530,2016_Fall,65.00,10,20,10,20,0,80,0.00
B,Bio 1530,2016_Fall,65.00,12,24,11,22,-2,76,0.00
B,Bio 1530,2016_Fall,62.00,8,16,10,20,4,84,0.05
B,Bio 1530,2016_Fall,62.00,9,18,8,16,-2,82,0.00
B,Bio 1530,2016_Fall,62.00,11,22,8,16,-6,78,0.00
B,Bio 1530,2016_Fall,55.00,6,12,10,20,8,88,0.09
B,Bio 1530,2017_Fall,97.00,8,16,17,34,18,84,0.21
B,Bio 1530,2017_Fall,97.00,8,16,7,14,-2,84,0.00
B,Bio 1530,2017_Fall,93.00,12,24,13,26,2,76,0.03
B,Bio 1530,2017_Fall,92.00,7,14,11,22,8,86,0.09
B,Bio 1530,2017_Fall,92.00,7,14,10,20,6,86,0.07
B,Bio 1530,2017_Fall,91.00,10,20,16,32,12,80,0.15
B,Bio 1530,2017_Fall,88.00,7,14,16,32,18,86,0.21
B,Bio 1530,2017_Fall,88.00,7,14,10,20,6,86,0.07
B,Bio 1530,2017_Fall,88.00,12,24,8,16,-8,76,0.00
B,Bio 1530,2017_Fall,86.00,9,18,16,32,14,82,0.17
B,Bio 1530,2017_Fall,85.00,7,14,12,24,10,86,0.12
B,Bio 1530,2017_Fall,85.00,13,26,7,14,-12,74,0.00
B,Bio 1530,2017_Fall,84.00,10,20,7,14,-6,80,0.00
B,Bio 1530,2017_Fall,83.00,12,24,13,26,2,76,0.03
B,Bio 1530,2017_Fall,83.00,11,22,12,24,2,78,0.03
B,Bio 1530,2017_Fall,83.00,11,22,7,14,-8,78,0.00
B,Bio 1530,2017_Fall,83.00,11,22,9,18,-4,78,0.00
B,Bio 1530,2017_Fall,80.00,10,20,16,32,12,80,0.15
B,Bio 1530,2017_Fall,80.00,13,26,9,18,-8,74,0.00
B,Bio 1530,2017_Fall,79.00,12,24,14,28,4,76,0.05
B,Bio 1530,2017_Fall,79.00,14,28,10,20,-8,72,0.00
B,Bio 1530,2017_Fall,78.00,11,22,14,28,6,78,0.08
B,Bio 1530,2017_Fall,77.00,13,26,10,20,-6,74,0.00
B,Bio 1530,2017_Fall,76.00,6,12,8,16,4,88,0.05
B,Bio 1530,2017_Fall,76.00,11,22,7,14,-8,78,0.00
B,Bio 1530,2017_Fall,76.00,11,22,11,22,0,78,0.00
B,Bio 1530,2017_Fall,75.00,11,22,16,32,10,78,0.13
B,Bio 1530,2017_Fall,69.00,11,22,12,24,2,78,0.03
B,Bio 1530,2017_Fall,65.00,10,20,15,30,10,80,0.13
B,Bio 1530,2017_Fall,64.00,9,18,10,20,2,82,0.02
B,Bio 1530,2017_Fall,64.00,13,26,6,12,-14,74,0.00
B,Bio 1530,2017_Fall,62.00,9,18,11,22,4,82,0.05
B,Bio 1530,2017_Fall,62.00,10,20,8,16,-4,80,0.00
B,Bio 1530,2017_Fall,62.00,14,28,13,26,-2,72,0.00
B,Bio 1530,2017_Fall,53.00,11,22,17,34,12,78,0.15
B,Bio 1530,2017_Fall,48.00,9,18,12,24,6,82,0.07
B,Bio 1530,2017_Fall,38.00,9,18,13,26,8,82,0.10
B,Bio 1530,2017_Fall,37.00,13,26,10,20,-6,74,0.00
B,Bio 1530,2017_Spring,99.00,11,22,11,22,0,78,0.00
B,Bio 1530,2017_Spring,91.00,6,12,14,28,16,88,0.18
B,Bio 1530,2017_Spring,91.00,13,26,12,24,-2,74,0.00
B,Bio 1530,2017_Spring,90.00,8,16,12,24,8,84,0.10
B,Bio 1530,2017_Spring,89.00,8,16,17,34,18,84,0.21
B,Bio 1530,2017_Spring,89.00,7,14,9,18,4,86,0.05
B,Bio 1530,2017_Spring,89.00,9,18,9,18,0,82,0.00
B,Bio 1530,2017_Spring,89.00,12,24,10,20,-4,76,0.00
B,Bio 1530,2017_Spring,87.00,10,20,13,26,6,80,0.08
B,Bio 1530,2017_Spring,87.00,9,18,12,24,6,82,0.07
B,Bio 1530,2017_Spring,87.00,10,20,9,18,-2,80,0.00
B,Bio 1530,2017_Spring,86.00,10,20,9,18,-2,80,0.00
B,Bio 1530,2017_Spring,85.00,9,18,12,24,6,82,0.07
B,Bio 1530,2017_Spring,84.00,8,16,16,32,16,84,0.19
B,Bio 1530,2017_Spring,84.00,6,12,12,24,12,88,0.14
B,Bio 1530,2017_Spring,79.00,13,26,10,20,-6,74,0.00
B,Bio 1530,2017_Spring,78.00,11,22,15,30,8,78,0.10
B,Bio 1530,2017_Spring,78.00,8,16,8,16,0,84,0.00
B,Bio 1530,2017_Spring,76.00,13,26,9,18,-8,74,0.00
B,Bio 1530,2017_Spring,75.00,9,18,9,18,0,82,0.00
B,Bio 1530,2017_Spring,74.00,2,4,10,20,16,96,0.17
B,Bio 1530,2017_Spring,73.00,13,26,6,12,-14,74,0.00
B,Bio 1530,2017_Spring,72.00,10,20,16,32,12,80,0.15
B,Bio 1530,2017_Spring,71.00,9,18,13,26,8,82,0.10
B,Bio 1530,2017_Spring,71.00,11,22,14,28,6,78,0.08
B,Bio 1530,2018_Spring,97.00,10,20,15,30,10,80,0.13
B,Bio 1530,2018_Spring,91.00,11,22,27,54,32,78,0.41
B,Bio 1530,2018_Spring,91.00,8,16,21,42,26,84,0.31
B,Bio 1530,2018_Spring,91.00,7,14,14,28,14,86,0.16
B,Bio 1530,2018_Spring,84.00,11,22,10,20,-2,78,0.00
B,Bio 1530,2018_Spring,79.00,12,24,15,30,6,76,0.08
B,Bio 1530,2018_Spring,79.00,11,22,13,26,4,78,0.05
B,Bio 1530,2018_Spring,78.00,14,28,8,16,-12,72,0.00
B,Bio 1530,2018_Spring,75.00,12,24,13,26,2,76,0.03
B,Bio 1530,2018_Spring,75.00,11,22,11,22,0,78,0.00
B,Bio 1530,2018_Spring,73.00,7,14,19,38,24,86,0.28
B,Bio 1530,2018_Spring,71.00,4,8,19,38,30,92,0.33
B,Bio 1530,2018_Spring,69.00,14,28,16,32,4,72,0.06
B,Bio 1530,2018_Spring,69.00,12,24,8,16,-8,76,0.00
B,Bio 1530,2018_Spring,64.00,13,26,18,36,10,74,0.14
B,Bio 1530,2018_Spring,61.00,6,12,14,28,16,88,0.18
B,Bio 1530,2018_Spring,57.00,13,26,7,14,-12,74,0.00
B,Bio 1530,2018_Spring,53.00,12,24,8,16,-8,76,0.00
B,Bio 1530,2018_Spring,49.00,9,18,14,28,10,82,0.12
B,Bio 1530,2018_Spring,43.00,13,26,15,30,4,74,0.05
F,Bio 1530,2018_Fall,85.00,38,76,48,96,20,24,0.83
F,Bio 1530,2018_Fall,85.00,17,34,38,76,42,66,0.64
F,Bio 1530,2018_Fall,83.00,24,48,33,66,18,52,0.35
F,Bio 1530,2018_Fall,80.00,31,62,38,76,14,38,0.37
F,Bio 1530,2018_Fall,80.00,26,52,33,66,14,48,0.29
F,Bio 1530,2018_Fall,78.00,26,52,38,76,24,48,0.50
F,Bio 1530,2018_Fall,78.00,31,62,36,72,10,38,0.26
F,Bio 1530,2018_Fall,77.00,17,34,40,80,46,66,0.70
F,Bio 1530,2018_Fall,75.00,26,52,19,38,-14,48,0.00
F,Bio 1530,2018_Fall,74.00,38,76,21,42,-34,24,0.00
F,Bio 1530,2018_Fall,71.00,36,72,48,96,24,28,0.86
F,Bio 1530,2018_Fall,70.00,33,66,43,86,20,34,0.59
F,Bio 1530,2018_Fall,70.00,26,52,33,66,14,48,0.29
F,Bio 1530,2018_Fall,70.00,26,52,29,58,6,48,0.13
F,Bio 1530,2018_Fall,67.00,19,38,38,76,38,62,0.61
F,Bio 1530,2018_Fall,67.00,36,72,38,76,4,28,0.14
F,Bio 1530,2018_Fall,66.00,17,34,26,52,18,66,0.27
F,Bio 1530,2018_Fall,61.00,26,52,38,76,24,48,0.50
F,Bio 1530,2018_Fall,61.00,29,58,33,66,8,42,0.19
F,Bio 1530,2018_Fall,56.00,26,52,24,48,-4,48,0.00
F,Bio 1530,2018_Fall,49.00,29,58,36,72,14,42,0.33
F,Bio 1530,2019_Spring,86.00,14,28,25,50,22,72,0.31
F,Bio 1530,2019_Spring,84.00,10,20,22,44,24,80,0.30
F,Bio 1530,2019_Spring,83.00,14,28,19,38,10,72,0.14
F,Bio 1530,2019_Spring,81.00,13,26,15,30,4,74,0.05
F,Bio 1530,2019_Spring,80.00,11,22,14,28,6,78,0.08
F,Bio 1530,2019_Spring,80.00,12,24,14,28,4,76,0.05
F,Bio 1530,2019_Spring,77.00,9,18,12,24,6,82,0.07
F,Bio 1530,2019_Spring,75.00,12,24,20,40,16,76,0.21
F,Bio 1530,2019_Spring,74.00,11,22,17,34,12,78,0.15
F,Bio 1530,2019_Spring,73.00,14,28,25,50,22,72,0.31
F,Bio 1530,2019_Spring,72.00,9,18,13,26,8,82,0.10
F,Bio 1530,2019_Spring,71.00,9,18,9,18,0,82,0.00
F,Bio 1530,2019_Spring,70.00,8,16,12,24,8,84,0.10
F,Bio 1530,2019_Spring,68.00,6,12,8,16,4,88,0.05
F,Bio 1530,2019_Spring,67.00,9,18,19,38,20,82,0.24
F,Bio 1530,2019_Spring,66.00,13,26,12,24,-2,74,0.00
F,Bio 1530,2019_Spring,64.00,16,32,12,24,-8,68,0.00
F,Bio 1530,2019_Spring,63.00,13,26,6,12,-14,74,0.00
F,Bio 1530,2019_Spring,62.00,5,10,12,24,14,90,0.16
F,Bio 1530,2019_Spring,60.00,9,18,12,24,6,82,0.07
F,Bio 1530,2019_Spring,58.00,14,28,14,28,0,72,0.00
F,Bio 1530,2019_Spring,55.00,9,18,19,38,20,82,0.24
F,Bio 1530,2019_Spring,49.00,9,18,5,10,-8,82,0.00
F,Bio 1530,2019_Spring,43.00,10,20,11,22,2,80,0.03
H,Bio 1530,2012_Fall,89.00,23,55,33,79,24,45,0.53
H,Bio 1530,2012_Fall,87.00,25,60,33,79,19,40,0.47
H,Bio 1530,2012_Fall,80.00,26,62,27,64,2,38,0.06
H,Bio 1530,2012_Fall,78.00,21,50,27,64,14,50,0.29
H,Bio 1530,2012_Fall,75.00,24,57,27,64,7,43,0.17
H,Bio 1530,2012_Fall,74.00,21,50,27,64,14,50,0.29
H,Bio 1530,2012_Fall,74.00,28,67,25,60,-7,33,0.00
H,Bio 1530,2012_Fall,73.00,21,50,27,64,14,50,0.29
H,Bio 1530,2012_Fall,70.00,14,33,25,60,26,67,0.39
H,Bio 1530,2012_Fall,70.00,21,50,27,64,14,50,0.29
H,Bio 1530,2012_Fall,69.00,20,48,35,83,36,52,0.68
H,Bio 1530,2012_Fall,66.00,22,52,31,74,21,48,0.45
H,Bio 1530,2012_Fall,63.00,17,40,25,60,19,60,0.32
H,Bio 1530,2012_Fall,62.00,12,29,21,50,21,71,0.30
H,Bio 1530,2012_Fall,61.00,14,33,24,57,24,67,0.36
H,Bio 1530,2012_Fall,61.00,21,50,20,48,-2,50,0.00
H,Bio 1530,2012_Fall,57.00,31,74,36,86,12,26,0.45
H,Bio 1530,2012_Fall,57.00,26,62,30,71,10,38,0.25
H,Bio 1530,2012_Fall,56.00,19,45,24,57,12,55,0.22
H,Bio 1530,2012_Fall,51.00,25,60,33,79,19,40,0.47
H,Bio 1530,2012_Fall,51.00,22,52,27,64,12,48,0.25
H,Bio 1530,2012_Fall,44.00,20,48,29,69,21,52,0.41
H,Bio 1530,2012_Fall,42.00,22,52,31,74,21,48,0.45
H,Bio 1530,2013_Fall,96.00,16,38,29,69,31,62,0.50
H,Bio 1530,2013_Fall,94.00,17,40,27,64,24,60,0.40
H,Bio 1530,2013_Fall,90.00,13,31,23,55,24,69,0.34
H,Bio 1530,2013_Fall,89.00,24,57,29,69,12,43,0.28
H,Bio 1530,2013_Fall,87.00,8,19,18,43,24,81,0.29
H,Bio 1530,2013_Fall,80.00,19,45,17,40,-5,55,0.00
H,Bio 1530,2013_Fall,79.00,7,17,22,52,36,83,0.43
H,Bio 1530,2013_Fall,79.00,11,26,16,38,12,74,0.16
H,Bio 1530,2013_Fall,77.00,17,40,18,43,2,60,0.04
H,Bio 1530,2013_Fall,72.00,16,38,15,36,-2,62,0.00
H,Bio 1530,2013_Fall,72.00,16,38,16,38,0,62,0.00
H,Bio 1530,2013_Fall,66.00,12,29,16,38,10,71,0.13
H,Bio 1530,2013_Fall,66.00,13,31,12,29,-2,69,0.00
H,Bio 1530,2013_Fall,65.00,12,29,11,26,-2,71,0.00
H,Bio 1530,2013_Fall,63.00,17,40,17,40,0,60,0.00
H,Bio 1530,2013_Fall,61.00,15,36,16,38,2,64,0.04
H,Bio 1530,2013_Fall,61.00,13,31,14,33,2,69,0.03
H,Bio 1530,2013_Fall,57.00,13,31,5,12,-19,69,0.00
H,Bio 1530,2013_Spring,97.00,25,60,31,74,14,40,0.35
H,Bio 1530,2013_Spring,86.00,26,62,33,79,17,38,0.44
H,Bio 1530,2013_Spring,86.00,25,60,26,62,2,40,0.06
H,Bio 1530,2013_Spring,84.00,27,64,33,79,14,36,0.40
H,Bio 1530,2013_Spring,84.00,27,64,31,74,10,36,0.27
H,Bio 1530,2013_Spring,81.00,18,43,29,69,26,57,0.46
H,Bio 1530,2013_Spring,80.00,29,69,33,79,10,31,0.31
H,Bio 1530,2013_Spring,80.00,29,69,30,71,2,31,0.08
H,Bio 1530,2013_Spring,78.00,26,62,19,45,-17,38,0.00
H,Bio 1530,2013_Spring,77.00,28,67,34,81,14,33,0.43
H,Bio 1530,2013_Spring,77.00,21,50,27,64,14,50,0.29
H,Bio 1530,2013_Spring,76.00,22,52,30,71,19,48,0.40
H,Bio 1530,2013_Spring,76.00,23,55,30,71,17,45,0.37
H,Bio 1530,2013_Spring,74.00,22,52,30,71,19,48,0.40
H,Bio 1530,2013_Spring,74.00,22,52,22,52,0,48,0.00
H,Bio 1530,2013_Spring,73.00,22,52,25,60,7,48,0.15
H,Bio 1530,2013_Spring,73.00,18,43,21,50,7,57,0.13
H,Bio 1530,2013_Spring,71.00,17,40,25,60,19,60,0.32
H,Bio 1530,2013_Spring,70.00,17,40,27,64,24,60,0.40
H,Bio 1530,2013_Spring,68.00,22,52,30,71,19,48,0.40
H,Bio 1530,2013_Spring,67.00,26,62,28,67,5,38,0.13
H,Bio 1530,2013_Spring,66.00,11,26,20,48,21,74,0.29
H,Bio 1530,2013_Spring,66.00,23,55,28,67,12,45,0.26
H,Bio 1530,2013_Spring,59.00,27,64,29,69,5,36,0.13
H,Bio 1530,2013_Spring,51.00,19,45,21,50,5,55,0.09
H,Bio 1530,2013_Spring,45.00,18,43,7,17,-26,57,0.00
H,Bio 1530,2013_Spring,42.00,17,40,18,43,2,60,0.04
H,Bio 1530,2014_Fall,102.00,35,83,34,81,-2,17,0.00
H,Bio 1530,2014_Fall,94.00,12,29,34,81,52,71,0.73
H,Bio 1530,2014_Fall,90.00,7,17,26,62,45,83,0.54
H,Bio 1530,2014_Fall,86.00,8,19,30,71,52,81,0.65
H,Bio 1530,2014_Fall,85.00,17,40,22,52,12,60,0.20
H,Bio 1530,2014_Fall,84.00,9,21,22,52,31,79,0.39
H,Bio 1530,2014_Fall,83.00,18,43,21,50,7,57,0.13
H,Bio 1530,2014_Fall,77.00,13,31,19,45,14,69,0.21
H,Bio 1530,2014_Fall,75.00,11,26,19,45,19,74,0.26
H,Bio 1530,2014_Fall,74.00,14,33,22,52,19,67,0.29
H,Bio 1530,2014_Fall,74.00,11,26,16,38,12,74,0.16
H,Bio 1530,2014_Fall,74.00,19,45,13,31,-14,55,0.00
H,Bio 1530,2014_Fall,71.00,8,19,16,38,19,81,0.24
H,Bio 1530,2014_Fall,71.00,7,17,9,21,5,83,0.06
H,Bio 1530,2014_Fall,68.00,9,21,10,24,2,79,0.03
H,Bio 1530,2014_Fall,68.00,19,45,14,33,-12,55,0.00
H,Bio 1530,2014_Fall,67.00,15,36,18,43,7,64,0.11
H,Bio 1530,2014_Fall,65.00,7,17,11,26,10,83,0.11
H,Bio 1530,2014_Fall,60.00,13,31,10,24,-7,69,0.00
H,Bio 1530,2014_Fall,56.00,10,24,13,31,7,76,0.09
H,Bio 1530,2014_Fall,55.00,8,19,6,14,-5,81,0.00
H,Bio 1530,2014_Fall,53.00,5,12,10,24,12,88,0.14
H,Bio 1530,2014_Fall,51.00,8,19,9,21,2,81,0.03
H,Bio 1530,2014_Spring,101.00,23,55,14,33,-21,45,0.00
H,Bio 1530,2014_Spring,91.00,6,14,11,26,12,86,0.14
H,Bio 1530,2014_Spring,89.00,10,24,31,74,50,76,0.66
H,Bio 1530,2014_Spring,89.00,10,24,28,67,43,76,0.56
H,Bio 1530,2014_Spring,82.00,14,33,14,33,0,67,0.00
H,Bio 1530,2014_Spring,79.00,15,36,26,62,26,64,0.41
H,Bio 1530,2014_Spring,47.00,9,21,23,55,33,79,0.42
H,Bio 1530,2015_Fall,95.00,9,21,24,57,36,79,0.45
H,Bio 1530,2015_Fall,90.00,12,29,23,55,26,71,0.37
H,Bio 1530,2015_Fall,87.00,18,43,29,69,26,57,0.46
H,Bio 1530,2015_Fall,85.00,11,26,25,60,33,74,0.45
H,Bio 1530,2015_Fall,84.00,10,24,20,48,24,76,0.31
H,Bio 1530,2015_Fall,84.00,14,33,15,36,2,67,0.04
H,Bio 1530,2015_Fall,83.00,12,29,14,33,5,71,0.07
H,Bio 1530,2015_Fall,82.00,12,29,25,60,31,71,0.43
H,Bio 1530,2015_Fall,80.00,8,19,20,48,29,81,0.35
H,Bio 1530,2015_Fall,80.00,16,38,12,29,-10,62,0.00
H,Bio 1530,2015_Fall,79.00,8,19,14,33,14,81,0.18
H,Bio 1530,2015_Fall,78.00,10,24,18,43,19,76,0.25
H,Bio 1530,2015_Fall,78.00,11,26,17,40,14,74,0.19
H,Bio 1530,2015_Fall,78.00,14,33,14,33,0,67,0.00
H,Bio 1530,2015_Fall,77.00,16,38,15,36,-2,62,0.00
H,Bio 1530,2015_Fall,76.00,9,21,15,36,14,79,0.18
H,Bio 1530,2015_Fall,76.00,17,40,18,43,2,60,0.04
H,Bio 1530,2015_Fall,74.00,3,7,17,40,33,93,0.36
H,Bio 1530,2015_Fall,74.00,7,17,13,31,14,83,0.17
H,Bio 1530,2015_Fall,72.00,11,26,19,45,19,74,0.26
H,Bio 1530,2015_Fall,72.00,9,21,11,26,5,79,0.06
H,Bio 1530,2015_Fall,71.00,12,29,16,38,10,71,0.13
H,Bio 1530,2015_Fall,71.00,10,24,14,33,10,76,0.13
H,Bio 1530,2015_Fall,71.00,12,29,14,33,5,71,0.07
H,Bio 1530,2015_Fall,71.00,17,40,18,43,2,60,0.04
H,Bio 1530,2015_Fall,71.00,11,26,10,24,-2,74,0.00
H,Bio 1530,2015_Fall,69.00,10,24,16,38,14,76,0.19
H,Bio 1530,2015_Fall,69.00,17,40,21,50,10,60,0.16
H,Bio 1530,2015_Fall,69.00,8,19,12,29,10,81,0.12
H,Bio 1530,2015_Fall,68.00,9,21,12,29,7,79,0.09
H,Bio 1530,2015_Fall,68.00,14,33,14,33,0,67,0.00
H,Bio 1530,2015_Fall,67.00,9,21,16,38,17,79,0.21
H,Bio 1530,2015_Fall,66.00,12,29,17,40,12,71,0.17
H,Bio 1530,2015_Fall,65.00,6,14,11,26,12,86,0.14
H,Bio 1530,2015_Fall,64.00,14,33,13,31,-2,67,0.00
H,Bio 1530,2015_Fall,61.00,13,31,17,40,10,69,0.14
H,Bio 1530,2015_Fall,61.00,11,26,10,24,-2,74,0.00
H,Bio 1530,2015_Fall,59.00,10,24,12,29,5,76,0.06
H,Bio 1530,2015_Fall,58.00,8,19,14,33,14,81,0.18
H,Bio 1530,2015_Fall,57.00,11,26,9,21,-5,74,0.00
H,Bio 1530,2015_Fall,57.00,11,26,9,21,-5,74,0.00
H,Bio 1530,2015_Fall,55.00,9,21,5,12,-10,79,0.00
H,Bio 1530,2015_Fall,54.00,10,24,10,24,0,76,0.00
H,Bio 1530,2015_Fall,52.00,6,14,12,29,14,86,0.17
H,Bio 1530,2015_Fall,52.00,11,26,13,31,5,74,0.06
H,Bio 1530,2015_Fall,46.00,4,10,19,45,36,90,0.39
H,Bio 1530,2015_Fall,42.00,5,12,6,14,2,88,0.03
H,Bio 1530,2015_Spring,97.00,12,29,37,88,60,71,0.83
H,Bio 1530,2015_Spring,95.00,24,57,36,86,29,43,0.67
H,Bio 1530,2015_Spring,93.00,10,24,22,52,29,76,0.38
H,Bio 1530,2015_Spring,92.00,19,45,28,67,21,55,0.39
H,Bio 1530,2015_Spring,91.00,16,38,27,64,26,62,0.42
H,Bio 1530,2015_Spring,90.00,14,33,30,71,38,67,0.57
H,Bio 1530,2015_Spring,87.00,7,17,17,40,24,83,0.29
H,Bio 1530,2015_Spring,84.00,13,31,20,48,17,69,0.24
H,Bio 1530,2015_Spring,81.00,12,29,18,43,14,71,0.20
H,Bio 1530,2015_Spring,80.00,9,21,17,40,19,79,0.24
H,Bio 1530,2015_Spring,77.00,8,19,16,38,19,81,0.24
H,Bio 1530,2015_Spring,77.00,16,38,12,29,-10,62,0.00
H,Bio 1530,2015_Spring,75.00,9,21,17,40,19,79,0.24
H,Bio 1530,2015_Spring,73.00,9,21,15,36,14,79,0.18
H,Bio 1530,2015_Spring,72.00,10,24,11,26,2,76,0.03
H,Bio 1530,2015_Spring,71.00,14,33,6,14,-19,67,0.00
